N_EXPEDIENT,CODI_DISTRICTE,DISTRICTE,CODI_BARRI,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y
02-2011-0564,2,L'EIXAMPLE,5,el Fort Pienc,Carrer,SARDENYA,1,199,,,,,,,PR,1,HUTB-001714,9,2.1782382665840094,41.396864913932802
10-2011-0209,10,SANT MARTI,68,el Poblenou,Carrer,PUJADES,2,120,,122,,,,,1,2,HUTB-002864,7,2.1947358045422805,41.396012764328496
02-2011-0631,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,ROGER DE LLURIA,2,40,,,,,,,3,3,HUTB-001992,15,2.1693816180123271,41.390186993451678
05-2011-0203,5,SARRIA-SANT GERVASI,24,les Tres Torres,Carrer,DOCTOR ROUX,2,34,,,,,,,BJ,,HUTB-003237,8,2.1304376074630444,41.394578285314303
05-2011-0204,5,SARRIA-SANT GERVASI,24,les Tres Torres,Carrer,DOCTOR ROUX,2,34,,,,,,,3,,HUTB-003238,4,2.1304376074630444,41.394578285314303
05-2011-0205,5,SARRIA-SANT GERVASI,24,les Tres Torres,Carrer,DOCTOR ROUX,2,34,,,,,,,1,,HUTB-003239,6,2.1304376074630444,41.394578285314303
05-2011-0206,5,SARRIA-SANT GERVASI,24,les Tres Torres,Carrer,DOCTOR ROUX,2,34,,,,,,,2,,HUTB-003073,5,2.1304376074630444,41.394578285314303
03-2011-0122,3,SANTS-MONTJUÏC,14,la Font de la Guatlla,Carrer,MORABOS,2,16,,,,,,,PR,1,HUTB-002382,5,2.1476365190784614,41.369404599895574
06-2011-0253,6,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,PROVIDENCIA,1,113,,,,,,,BJ,2,HUTB-002853,5,2.1602939511464916,41.407369510961509
05-2011-0217,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Carrer,PLATO,1,17,,,,,,,4,1,HUTB-002753,6,2.140913120624635,41.398651131058777
02-2011-0285,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,1,1,HUTB-003573,5,2.1535939024791606,41.377034748565052
02-2011-0286,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,1,2,HUTB-003574,5,2.1535939024791606,41.377034748565052
02-2011-0287,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,1,3,HUTB-003575,4,2.1535939024791606,41.377034748565052
02-2011-0288,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,1,4,HUTB-003576,4,2.1535939024791606,41.377034748565052
02-2011-0289,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,2,1,HUTB-003577,5,2.1535939024791606,41.377034748565052
02-2011-0290,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,2,2,HUTB-003578,5,2.1535939024791606,41.377034748565052
02-2011-0291,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,2,3,HUTB-003579,4,2.1535939024791606,41.377034748565052
